Trust Code,Location,2012-04-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01
REM,"(53.4657,  -2.9318)",23,21,37,30,31,25,33,31,24,34,21,31,26,24,20,26,30,23,27,24,32,24,24,26,26,29,33,37,27,28,24,24,15,20,35,24,27,26,27,23,26,33,25,35,22,23,21,18,22,24,16,34,34,26,33,25,30,24,18,26,23,23,19,31,28,26,25,26,21,24,22,25,26,30,35,35,27,33,30,25,28,30,34,25,32,31,30,35,32,30,32,27,34,37,25
RCF,"(53.8977, -1.9642)",9,14,13,9,12,11,11,5,14,11,7,3,9,5,6,11,9,11,15,9,3,12,7,12,8,5,12,9,6,19,15,9,11,11,8,13,15,5,11,10,5,8,9,16,13,17,10,9,12,12,15,10,7,14,13,7,13,11,13,13,12,16,13,14,12,5,16,12,8,17,10,20,24,12,14,10,17,11,18,13,11,11,16,13,14,12,23,19,17,16,16,16,9,9,12
RBS,"(53.4205, -2.8968)",2,0,3,0,1,1,1,4,2,4,1,0,2,4,2,2,1,3,0,1,2,2,1,2,1,3,0,2,6,1,3,3,2,1,1,1,3,1,3,5,4,3,2,0,1,0,0,2,2,4,2,0,3,1,0,1,0,2,6,5,0,1,2,2,4,1,1,2,1,4,3,1,2,2,1,1,1,2,2,2,5,0,0,2,2,2,3,1,2,0,1,2,1,1,3
RTK,"(51.4441, -0.4730)",13,23,16,23,18,20,14,15,13,11,20,19,20,29,17,18,15,16,17,14,16,15,15,13,13,26,15,16,20,23,12,20,21,19,18,16,23,25,18,22,20,22,15,16,26,15,14,21,23,19,26,14,26,26,28,23,21,17,10,17,16,21,28,28,28,16,28,30,24,15,15,13,14,17,26,18,22,22,17,14,29,20,28,21,18,24,18,30,18,20,15,21,18,21,21
RF4,"(51.5803, 0.1121)",38,37,35,47,34,33,33,28,33,29,35,33,35,29,33,34,52,39,34,30,38,44,26,42,33,29,54,41,45,35,32,45,44,38,32,38,41,39,39,43,42,38,51,46,44,39,37,43,50,41,51,38,46,48,41,26,38,31,32,40,33,42,43,39,40,40,45,42,34,45,44,42,29,50,40,50,37,32,37,48,31,37,26,29,31,36,46,49,35,37,46,32,37,46,37
RVL,"(51.6665, -0.1038)",30,23,28,21,19,29,27,20,17,22,22,16,27,29,35,42,28,19,27,19,21,17,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RFF,"(53.5579, -1.4995)_",8,6,6,9,16,19,7,8,11,17,13,10,6,10,8,16,14,13,17,8,17,10,10,18,11,15,13,20,15,17,9,15,17,24,14,7,14,15,20,17,19,19,17,11,15,8,18,20,16,16,15,17,26,17,21,14,18,16,14,16,12,11,15,17,13,17,20,16,16,13,17,14,18,9,22,23,15,16,21,16,6,16,17,13,12,18,19,11,17,9,13,20,15,11,7
R1H,"(51.5182, -0.0585)",44,46,46,52,48,49,48,57,46,61,46,52,59,57,48,58,70,56,52,47,59,61,40,57,39,56,40,65,61,58,53,46,43,56,48,60,55,39,48,61,61,53,56,56,54,47,43,59,61,60,74,57,73,62,62,56,56,52,65,73,54,69,55,56,64,56,52,53,66,47,45,68,47,62,62,56,62,59,53,62,49,51,51,52,70,58,65,60,85,59,62,77,55,58,57
RDD,"(51.6235, 0.3164)",12,11,14,28,21,15,11,20,14,10,3,16,26,14,14,18,23,13,21,17,15,16,20,22,15,15,16,18,21,14,18,25,22,12,23,16,14,28,19,20,23,19,20,20,20,18,19,17,17,17,17,23,19,24,25,29,21,11,17,21,18,22,19,16,23,33,30,23,25,13,21,22,22,22,22,33,29,26,19,16,27,13,26,27,24,24,25,33,24,27,26,26,28,20,18
RC1,"(52.1286, -0.4712)",13,7,13,12,10,6,20,11,12,8,9,7,8,7,12,7,20,14,15,6,9,16,9,16,11,9,11,12,16,19,14,10,14,11,6,13,11,9,17,7,10,12,15,10,9,8,8,7,11,7,10,9,18,11,13,16,16,13,12,16,12,12,12,13,15,11,18,11,14,13,17,18,12,10,11,17,22,20,6,11,11,6,14,10,17,12,12,14,17,7,9,17,14,14,12
RQ3,"(52.411, -1.8976)",2,1,0,1,2,3,2,3,1,4,5,1,3,2,5,1,5,2,3,1,5,3,2,0,3,2,5,0,2,3,0,3,1,1,4,1,2,2,6,3,2,3,1,4,1,4,2,4,0,3,6,4,3,3,2,4,4,4,0,7,2,8,3,6,4,1,7,2,8,1,1,2,4,3,2,2,2,3,3,3,3,2,4,5,2,2,2,2,4,1,2,1,5,2,1
RLU,"(52.4532,-1.9428)",0,0,0,0,0,1,2,0,0,0,1,1,0,1,2,0,3,1,2,0,0,0,1,2,1,2,1,1,2,1,1,1,1,1,2,0,2,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RXL,"(53.8206, -3.0138)",22,12,21,15,19,20,12,24,16,13,21,19,11,19,18,31,24,22,21,16,27,19,27,24,19,29,21,28,13,31,23,26,18,20,24,22,19,21,29,21,29,29,25,20,23,27,28,20,25,40,25,22,22,20,20,23,16,24,29,28,21,21,22,32,19,24,22,28,24,22,18,17,24,25,27,19,31,28,21,28,22,21,25,11,23,31,21,27,37,28,31,20,26,30,24
RMC,"(53.5533, -2.4312)",25,16,24,17,27,16,26,19,22,17,14,21,26,20,21,27,26,13,16,19,19,21,12,26,18,19,21,24,16,13,12,13,26,29,14,14,29,23,12,19,25,27,21,24,18,18,16,21,12,25,24,27,25,19,28,19,29,22,22,24,24,21,25,32,26,22,23,24,26,25,22,20,28,17,31,23,34,29,22,15,25,28,12,25,27,17,25,16,24,22,20,21,25,22,20
RAE,"(53.8066, -1.7966)",33,20,14,17,22,31,18,23,13,19,15,20,28,27,23,19,20,19,13,26,22,24,17,24,24,19,26,18,25,22,17,21,9,16,13,27,26,19,21,23,26,23,24,17,22,18,12,22,11,26,29,24,43,23,16,25,18,19,15,16,14,15,17,21,23,28,20,23,24,20,26,34,20,24,22,31,30,30,22,25,21,21,18,27,15,29,21,30,19,31,24,24,26,24,24
RXH,"(50.99017054585982, -0.09066765441666307)",15,16,21,21,27,17,18,25,26,7,13,20,33,27,17,22,21,20,20,18,22,18,19,19,19,14,26,29,27,23,24,18,30,15,11,23,29,25,21,23,21,25,20,23,25,27,15,24,21,20,25,20,27,26,18,23,24,17,19,22,22,20,34,37,33,26,21,26,23,22,18,30,26,19,19,28,22,23,41,20,22,17,18,16,23,33,26,23,25,14,29,20,28,24,19
RXQ,"(51.57394587556737, -0.7706928185140914)",19,20,18,24,19,23,12,14,11,9,13,18,14,17,16,19,18,25,24,15,19,18,23,19,20,19,21,17,21,17,30,16,24,9,19,22,21,17,17,19,21,21,25,22,20,14,21,23,20,12,30,27,23,18,16,26,17,17,18,18,17,14,19,18,25,26,21,24,16,16,15,20,23,21,25,23,17,14,24,21,21,21,16,31,26,29,23,16,22,21,18,20,13,25,21
RJF,"(52.62119390500358, -1.7241273718566719)",9,9,11,17,9,14,10,11,8,5,13,10,5,15,11,18,9,18,11,10,17,14,10,11,17,11,16,15,11,13,14,23,17,13,12,10,6,5,10,14,9,13,12,8,6,7,11,7,13,10,7,9,12,10,12,14,5,9,7,13,8,11,14,8,7,10,7,8,15,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RWY,"(53.70548310480215, -1.8577050405132096)",23,19,25,16,20,23,21,14,11,20,19,24,20,17,17,18,12,16,22,18,17,23,24,16,23,24,19,21,12,19,27,22,21,22,26,26,25,19,27,24,27,34,26,26,24,30,26,13,18,22,25,29,19,25,32,23,26,28,18,21,21,25,29,38,29,37,27,31,21,25,22,25,27,25,23,32,34,27,37,15,27,21,25,29,21,22,26,37,34,32,30,16,25,28,18
RGT,"(52.17560031394499, 0.14081330460476296)",17,20,26,14,20,19,22,16,22,21,27,14,27,18,22,23,30,19,16,18,24,15,13,33,23,22,23,31,19,23,24,27,18,36,18,22,24,29,24,22,20,23,27,26,21,29,11,22,22,27,24,20,38,22,29,24,34,20,29,23,32,22,33,32,35,30,31,30,26,32,19,28,25,33,35,31,43,31,42,43,31,42,35,31,29,32,37,37,34,37,45,28,33,35,25
RW3,"(53.46195072406504, -2.224032881078844)",23,18,18,28,33,21,20,32,17,20,21,32,26,18,25,16,29,24,31,26,16,24,28,22,26,21,24,26,21,17,18,19,32,24,22,21,24,33,26,16,26,16,19,34,15,27,19,23,16,26,31,32,24,26,29,28,27,19,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RQM,"(51.484884641791076, -0.18156721907669413)",2,11,7,4,8,6,8,2,5,7,9,6,9,3,5,9,5,6,3,6,6,5,10,6,5,6,10,8,9,4,6,10,6,5,1,8,10,10,7,13,5,10,10,5,5,9,9,27,20,23,24,28,28,23,26,26,19,29,26,28,22,28,21,23,44,27,31,36,31,28,23,31,34,26,31,34,33,35,40,38,27,34,25,25,25,30,20,34,26,32,29,29,23,36,23
RFS,"(53.23699835697208, -1.3974218254510753)",11,22,26,23,17,22,25,25,18,30,21,26,26,14,20,27,21,15,26,33,19,17,12,20,12,17,17,24,21,23,18,25,15,16,23,17,24,17,14,20,19,29,15,28,27,23,15,24,22,18,31,26,22,20,25,14,27,21,20,15,26,26,22,31,13,30,28,22,21,26,19,21,19,28,15,28,31,28,25,20,19,22,25,40,28,28,17,24,26,29,18,17,16,20,22
RLN,"(54.90308173424177, -1.4091137165088152)",17,25,31,32,29,19,24,28,21,25,23,16,24,25,29,22,31,28,29,34,17,26,25,21,19,30,25,18,27,17,25,27,27,21,21,22,27,27,29,23,23,22,26,30,20,23,18,25,26,24,28,25,29,27,29,19,24,23,29,27,24,22,23,29,33,27,24,25,26,28,26,23,31,25,24,24,33,22,31,29,23,32,22,0,0,0,0,0,0,0,0,0,0,0,0
REN,"(53.33208816005862, -3.028910713613428)",1,2,1,3,0,3,0,0,1,1,1,3,1,0,2,1,0,1,0,0,2,0,1,2,1,1,2,1,0,1,3,0,0,2,1,0,0,0,0,0,3,0,3,2,0,1,2,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,4,1,2,1,1,1,0,1,0,1,2,5,3,0,0,0,1,2,0,1,4,2,0,0,0,0,3,1
RDE,"(51.91099476576112, 0.9000585880817549)",24,24,19,19,18,14,11,12,15,18,15,21,16,19,8,18,20,17,19,18,20,21,18,15,20,25,13,20,13,17,18,18,27,19,14,19,12,21,27,24,17,16,18,25,18,21,18,20,20,29,25,23,31,31,31,17,19,21,19,26,16,25,27,26,38,28,28,27,16,19,24,48,43,41,53,47,47,40,53,31,41,49,41,39,37,47,52,65,57,53,64,57,52,35,43
RJR,"(53.20848950365992, -2.898328202194898)",10,11,10,11,19,22,18,16,18,16,8,13,15,15,14,14,21,29,23,16,13,20,11,8,19,22,16,15,15,19,16,16,17,11,19,16,19,15,22,13,20,24,15,24,17,16,19,19,9,10,16,17,25,25,18,13,13,11,12,14,17,13,11,14,19,13,24,15,12,20,16,13,13,19,15,21,25,15,17,17,15,16,22,23,18,21,18,24,20,21,18,15,16,17,19
RXP,"(54.532350021903895, -1.5647619553550858)",20,28,34,25,31,35,23,38,23,25,29,31,25,21,25,39,33,26,26,26,30,30,30,23,20,28,29,28,27,30,32,30,24,19,23,30,21,26,23,27,39,32,27,33,24,29,27,26,27,25,26,45,41,38,33,24,26,36,32,21,28,41,32,33,37,25,25,34,25,30,12,35,33,38,36,29,33,38,32,27,38,35,24,34,38,33,42,36,32,32,26,30,22,34,33
RJ6,"(51.382694104997206, -0.10240341977959112)",14,16,14,16,7,17,8,14,11,11,9,10,16,10,13,10,15,13,15,16,10,15,9,11,12,19,12,16,14,17,22,15,9,12,9,10,12,13,16,18,12,17,15,21,16,19,26,23,14,14,15,20,14,13,18,23,20,14,14,24,15,10,21,34,11,25,22,21,21,13,19,15,18,16,20,13,18,15,27,18,22,15,15,18,13,13,19,20,18,11,24,13,23,14,19
RN7,"(51.445829542457524, 0.2172785007504496)",10,9,18,14,12,13,16,20,20,7,15,19,15,19,17,13,22,16,13,14,21,16,14,17,16,19,14,24,14,19,6,15,12,15,15,14,16,13,9,20,16,17,13,18,12,21,18,22,10,28,25,10,21,19,16,12,22,18,23,14,23,24,20,32,20,23,18,25,18,17,18,25,20,17,22,25,21,17,18,25,10,24,21,19,28,25,18,35,28,21,31,30,25,34,26
RTG,"(52.91125255079307, -1.5135640792625484)",42,29,29,32,40,36,35,24,34,20,29,42,24,34,30,37,32,34,35,33,37,36,46,41,37,41,44,45,31,35,41,29,35,27,35,32,36,31,35,43,38,22,29,37,50,39,38,40,39,38,39,41,37,43,54,36,30,45,32,37,37,32,37,40,44,31,35,42,62,38,28,55,46,42,47,51,57,81,71,57,64,63,70,60,55,62,51,46,50,51,40,52,59,69,62
RP5,"(53.531864734918166, -1.108603980020037)",24,30,30,22,31,13,32,29,20,24,18,18,23,16,23,24,33,29,28,30,26,37,33,30,26,32,29,34,28,23,28,17,24,20,30,33,28,21,22,25,30,38,40,35,30,37,35,31,21,33,30,41,40,38,24,26,29,32,29,22,19,36,23,28,31,32,20,23,31,27,30,22,27,26,35,39,27,31,41,23,26,32,32,21,29,34,29,35,39,32,30,32,37,25,34
RBD,"(50.7176324775909, -2.4440674364043415)",3,5,4,8,8,8,7,7,5,16,7,7,3,3,5,7,7,6,14,11,6,7,6,8,5,8,9,9,8,11,8,5,6,6,11,9,7,15,9,11,8,11,9,6,9,7,13,8,6,13,15,15,17,9,4,9,9,11,8,13,16,12,8,10,12,6,16,10,12,18,10,7,8,15,20,16,11,8,17,14,11,7,7,14,10,15,14,20,20,19,9,8,9,15,13
RC3,"(51.50782257398375, -0.3455783957899442)",14,9,9,11,10,10,12,13,8,10,9,10,11,10,15,4,17,9,10,13,8,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RWH,"(51.92619531435404, -0.21192791752030743)",19,26,20,18,15,22,20,21,20,15,14,17,22,16,22,25,23,21,25,17,19,12,19,11,11,33,22,20,20,22,20,25,24,14,18,18,15,14,18,29,28,18,17,24,18,19,25,31,28,21,26,24,20,23,30,24,22,26,19,17,23,27,18,24,30,29,24,14,10,21,32,17,20,10,21,22,32,33,20,23,20,26,20,25,30,37,24,31,34,36,22,32,24,22,20
RJN,"(53.26357805065089, -2.1394768561256954)",4,11,12,14,16,16,9,11,4,6,18,8,9,14,14,22,10,11,12,10,13,13,9,12,12,12,12,5,18,14,14,10,19,9,9,7,15,12,10,12,10,13,15,11,13,9,10,17,10,8,10,15,12,18,16,13,8,19,5,13,14,13,12,10,16,15,11,12,7,10,11,8,9,7,6,13,11,12,10,8,19,11,11,13,14,10,14,17,9,14,16,15,8,14,4
RVV,"(51.14178249968882, 0.9146858500312061)",41,35,23,42,40,42,44,27,30,34,33,42,34,36,45,49,31,54,46,40,34,39,35,44,41,37,40,44,31,44,46,39,38,36,33,40,40,44,36,52,49,42,43,50,43,43,47,39,50,56,45,52,51,44,51,53,54,52,45,61,47,57,47,48,52,56,46,55,43,49,34,51,41,52,40,54,47,52,55,53,40,45,48,42,41,56,43,51,66,68,46,39,48,45,47
RXR,"(53.81874676778731, -2.2329785112872766)",19,30,32,26,32,31,23,26,21,25,20,26,24,23,26,20,23,21,30,22,39,23,25,29,26,27,37,20,25,26,35,29,27,32,31,25,35,30,30,27,35,35,34,23,30,31,29,35,29,39,32,30,40,34,35,34,33,31,46,37,44,42,39,33,37,28,27,30,31,21,23,38,35,37,36,35,36,37,38,35,40,33,30,39,43,39,33,39,30,30,25,35,23,38,39
RXC,"(50.885997568862706, 0.5681456108802414)",15,23,23,26,25,20,15,15,17,19,22,20,24,17,17,16,18,18,22,28,15,19,21,19,16,13,23,23,28,22,23,21,19,12,14,24,23,28,26,34,30,23,23,23,16,29,31,32,23,27,24,27,32,27,31,28,29,31,22,33,33,32,32,39,41,35,29,32,30,28,17,29,26,35,28,33,32,38,30,33,28,29,21,34,24,38,29,38,32,22,33,34,26,34,27
RVR,"(51.32588162585017, -0.2726380652063193)",19,14,11,16,14,10,16,18,11,20,15,16,20,19,14,20,14,15,15,27,16,23,13,21,19,26,34,14,12,20,20,13,21,19,15,25,21,21,28,12,29,24,26,21,29,23,23,15,17,29,35,28,26,22,24,19,19,26,23,17,18,18,23,23,29,15,22,20,24,25,28,20,21,32,23,33,24,24,24,24,32,16,15,26,31,30,13,29,24,27,20,21,34,25,22
RDU,"(51.31935047347247, -0.7406367498647125)",16,20,21,16,16,14,19,21,9,16,10,11,11,10,13,20,15,14,5,10,17,20,17,38,44,40,33,35,52,36,40,27,32,38,36,38,37,38,45,38,46,45,52,35,52,57,31,55,39,53,47,54,56,56,60,39,62,40,48,51,62,53,57,72,67,57,72,63,58,64,34,54,49,61,59,47,72,55,76,64,56,55,56,75,63,67,45,68,72,67,59,53,62,68,54
RR7,"(54.95819357717019, -1.6041208420193993)",15,17,16,18,16,15,16,9,10,11,7,9,10,10,15,14,11,13,13,10,7,13,15,20,16,10,14,15,12,14,7,14,12,14,20,14,10,14,16,9,28,14,11,13,14,21,21,22,18,13,17,14,12,18,15,12,16,13,19,18,17,29,15,20,22,23,21,18,23,18,14,19,23,26,24,23,25,29,20,21,16,26,18,23,17,15,18,28,20,16,20,16,19,27,20
RLT,"(52.51250140968682, -1.4761946719216046)",7,11,8,15,6,3,12,5,8,9,11,5,7,11,13,9,7,7,5,12,11,11,10,11,11,16,16,13,7,12,18,14,8,14,6,11,9,11,7,8,12,8,11,6,5,11,11,10,7,12,13,18,14,8,14,9,12,20,12,5,18,8,12,8,10,9,12,7,12,7,13,12,11,14,12,14,24,14,11,11,12,13,15,6,13,10,16,19,18,23,13,15,7,19,13
RTE,"(51.89817330661764, -2.0734003866899693)",21,27,26,34,30,30,19,26,28,15,21,25,25,25,19,18,24,16,17,20,25,27,22,20,18,27,28,25,31,27,25,29,20,21,20,16,12,31,23,32,23,22,25,18,27,21,22,20,29,28,24,30,30,21,23,13,13,16,23,27,27,15,20,17,24,16,27,28,25,23,18,18,17,15,24,23,28,32,25,17,20,34,17,18,15,25,28,14,25,12,20,18,29,10,18
RP4,"(51.52374138975729, -0.12505186986850936)",2,0,3,3,0,1,1,4,1,2,1,1,0,2,3,1,4,1,2,3,3,2,1,1,2,2,2,1,3,1,0,2,2,3,1,0,0,1,3,1,3,1,1,2,3,1,1,0,1,3,3,4,2,0,3,0,2,1,1,1,3,1,2,2,1,0,3,0,2,0,1,3,2,2,2,0,2,2,2,3,1,0,3,2,2,0,1,1,0,1,0,1,1,1,4
RN3,"(51.53875488233524, -1.7274504111171665)",15,14,9,17,20,9,10,12,15,14,14,15,8,17,19,11,18,15,16,11,16,20,6,18,13,24,24,16,21,14,19,15,21,23,16,22,22,18,17,32,32,24,26,24,27,17,18,14,22,24,14,23,31,22,26,21,22,17,20,18,19,19,23,17,24,17,16,16,19,16,16,14,8,18,22,14,20,29,18,17,18,19,14,18,21,19,18,15,26,27,16,22,14,24,12
RJ1,"(51.50762036418535, -0.09012022132932707)",9,21,18,20,18,13,18,18,17,20,13,11,13,24,19,16,22,17,31,18,15,20,19,15,21,20,17,19,19,14,16,16,24,20,24,24,20,22,18,16,19,12,16,23,18,22,20,31,20,26,20,19,27,19,16,25,14,20,24,35,17,33,24,23,35,22,24,23,24,17,25,15,23,28,27,16,30,25,36,29,19,12,28,22,20,33,23,23,24,20,28,24,28,18,34
RN5,"(51.28204311980768, -1.1111663428253749)",12,12,17,12,15,16,15,9,16,17,19,16,17,13,12,19,19,15,12,11,8,20,16,16,21,16,20,17,19,12,18,18,13,11,12,12,25,17,19,23,19,20,22,19,18,16,20,13,22,15,22,23,25,21,12,23,20,18,15,24,20,10,23,21,25,23,24,21,27,16,15,18,20,23,26,26,34,18,22,22,23,24,25,27,20,20,17,26,35,31,24,28,30,31,13
RCD,"(53.9940886140109, -1.5173907641144762)",8,13,7,14,16,11,5,7,10,4,7,8,3,9,13,15,10,11,8,7,11,8,5,6,8,7,11,17,5,6,12,6,4,12,7,6,10,12,10,9,18,19,14,10,15,7,8,12,9,9,7,9,11,14,12,7,15,12,12,13,10,12,13,16,18,15,11,3,7,15,14,12,13,15,13,10,15,11,9,7,7,15,11,15,11,8,6,7,20,18,9,16,12,7,7
RR1,"(52.478199975848575, -1.827997595171769)",34,36,35,49,43,50,30,44,37,38,49,49,42,49,44,45,51,53,44,44,40,34,39,42,38,41,55,50,48,48,45,36,43,51,33,49,44,60,53,57,47,68,72,42,39,51,50,51,46,57,50,52,53,48,40,50,42,48,52,44,42,56,53,59,47,54,50,64,43,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RD7,"(51.542841717766166, -0.5741286139006025)",8,11,23,18,16,15,16,16,18,22,11,19,9,23,20,23,12,16,18,23,12,14,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RQQ,"(52.33295506719578, -0.20259350501565868)",13,5,4,10,11,7,4,7,10,2,6,3,9,5,7,5,2,9,12,10,8,10,7,7,7,9,4,14,8,4,5,7,2,7,3,5,9,6,9,8,12,7,6,8,6,11,11,3,9,9,9,11,15,5,10,14,11,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RQX,"(51.550631362287014, -0.04616614229199524)",10,13,6,8,6,8,12,10,16,4,7,8,13,8,7,6,10,7,16,12,9,10,14,12,11,10,10,6,12,10,8,11,10,9,12,13,7,15,6,16,12,19,13,9,13,10,7,14,15,7,8,11,13,12,19,12,4,10,8,7,13,10,9,10,10,9,16,6,12,4,7,8,13,11,7,18,16,9,10,15,14,10,6,5,11,11,9,15,13,11,9,11,9,14,12
RWA,"(53.74487384822891, -0.3583312797079829)",21,29,27,33,36,33,25,39,23,23,29,38,34,43,29,40,45,30,36,30,46,34,37,27,22,31,20,36,36,28,33,33,32,19,31,25,24,32,34,38,35,33,32,28,29,31,30,28,31,39,26,34,50,38,47,39,29,25,38,37,29,31,43,33,43,42,33,37,36,41,36,26,35,34,39,52,40,41,33,37,38,35,42,55,37,43,51,43,50,44,37,47,33,45,41
RYJ,"(51.51839798172751, -0.17434872696825063)",19,24,19,24,29,22,28,26,16,28,19,21,31,27,30,29,38,22,24,21,29,23,32,36,24,28,27,23,46,25,23,32,26,35,23,30,27,29,32,32,29,37,31,28,31,24,27,27,25,37,38,34,32,32,38,30,21,34,36,25,36,25,34,28,34,32,40,32,33,22,23,20,22,35,27,35,31,40,29,29,26,21,20,21,32,37,24,35,38,31,29,37,45,36,18
RGQ,"(52.05819743475968, 1.1981581886938297)",14,15,14,7,15,19,15,12,21,11,2,12,6,9,13,17,16,19,15,10,9,12,12,18,11,11,17,17,13,15,18,11,13,12,15,15,11,11,19,13,15,17,12,17,28,24,9,10,18,11,17,23,19,14,23,19,14,16,8,21,27,21,23,12,17,13,14,22,18,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R1F,"(50.71180994958148, -1.298284719723565)",2,3,7,8,3,8,10,7,9,7,3,8,12,8,4,7,8,7,7,4,7,11,6,7,10,8,8,10,8,9,11,14,9,11,8,9,14,6,11,16,13,10,8,12,4,4,11,14,13,10,10,11,9,14,9,13,11,11,11,11,9,10,11,8,12,19,7,13,16,6,13,8,5,8,12,19,13,15,14,11,12,14,5,16,16,14,16,15,13,16,11,12,12,12,10
RGP,"(52.56235364459122, 1.7177258122789563)",14,19,17,9,9,9,10,7,9,11,9,10,10,14,13,15,23,6,15,11,11,12,6,19,13,13,18,12,15,7,16,12,9,15,17,15,14,11,12,17,11,13,17,10,16,20,18,22,13,22,15,18,16,19,24,16,9,13,19,10,19,23,20,11,18,16,27,24,12,22,19,12,17,17,19,21,22,17,20,24,14,15,15,16,17,17,18,13,15,13,26,16,15,17,14
RNQ,"(52.40249406083794, -0.7417564571305906)",12,10,10,13,16,9,11,12,11,12,10,13,15,17,13,17,16,18,12,17,22,17,13,14,18,23,21,15,20,12,15,22,18,17,17,17,14,22,13,14,20,21,17,13,16,19,21,14,26,22,23,24,24,19,11,22,29,19,17,18,23,20,20,23,28,22,15,15,15,28,32,24,25,15,15,25,22,23,24,15,15,22,13,19,10,21,22,21,14,20,15,14,17,17,16
RJZ,"(51.46870148832199, -0.09441272645577566)",28,31,38,31,50,39,48,32,32,35,34,24,30,43,32,37,41,36,43,31,50,31,27,36,33,27,25,36,25,34,36,39,32,35,30,33,29,36,35,38,41,48,42,37,28,37,29,29,33,40,44,45,35,59,41,43,36,26,41,40,40,41,39,34,41,35,30,41,28,35,33,39,56,46,45,45,49,39,42,39,35,36,35,34,34,36,34,42,34,41,41,36,29,43,39
RAX,"(51.415574564261284, -0.2819594470463134)",11,9,15,11,13,10,12,12,8,9,10,23,9,10,6,12,13,14,13,14,14,12,4,8,10,12,14,13,13,11,15,10,7,9,12,7,8,19,15,11,20,12,20,16,16,13,16,14,8,18,14,20,12,14,10,12,17,15,16,12,14,14,13,13,22,10,14,8,9,9,10,12,12,13,18,10,13,14,20,8,14,10,10,20,7,16,17,19,13,15,14,12,10,11,13
RXN,"(53.82229721458163, -2.2258013814394366)",21,30,20,21,26,21,26,15,24,26,13,20,32,23,22,24,22,21,32,18,22,24,14,22,20,22,22,29,24,28,30,28,24,15,20,21,25,15,18,29,34,27,24,15,24,29,17,33,16,28,28,29,23,31,26,16,18,28,24,23,36,26,30,25,36,22,34,25,33,22,23,23,26,28,31,33,30,33,27,24,25,30,22,25,27,23,29,28,21,24,26,18,24,30,26
