Trust Code,Location,2012-04-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01
RPY,"(51.466845835192515, -0.24377020903714497)",4,6,8,7,4,6,14,5,5,5,12,6,5,13,6,8,9,5,4,9,3,8,3,12,5,8,4,1,4,6,11,7,8,4,8,4,9,5,5,6,7,7,8,5,5,3,3,4,2,7,3,5,3,5,5,4,5,1,2,7,3,6,5,5,5,3,3,5,5,9,8,6,3,7,8,4,11,5,3,13,11,5,1,2,4,2,5,7,7,8,6,10,7,7,4
RRJ,"(52.421634943635055, -1.9609849952042913)",0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
RET,"(53.46671590022735, -2.930796094576735)",1,1,0,0,1,1,1,2,1,0,3,1,0,1,1,0,1,0,1,0,0,2,1,3,1,2,0,0,1,2,0,1,1,1,1,2,2,0,0,1,2,1,2,2,0,3,2,2,2,2,0,4,2,1,0,0,1,0,2,3,0,3,1,1,0,2,1,1,0,0,3,0,2,1,0,0,0,1,1,1,3,0,1,2,0,2,0,2,1,1,0,1,1,2,0
RKE,"(51.567101671484515, -0.14004708778386407)",7,7,8,9,7,7,11,10,9,11,5,6,11,7,8,8,10,15,10,6,12,13,7,7,10,14,8,14,14,8,8,13,5,9,16,12,16,14,8,11,12,8,10,8,5,7,9,8,12,11,6,12,15,14,12,13,20,8,14,7,13,14,11,13,4,11,12,16,9,11,9,8,9,8,17,6,14,10,14,10,13,14,9,11,9,16,13,9,15,11,26,10,10,11,8
RWD,"(53.233981773519126, -0.5193931947172791)",50,41,35,38,49,41,24,29,35,32,28,27,36,44,28,31,37,33,32,27,27,34,37,28,24,35,36,33,41,38,36,31,32,38,27,20,36,38,45,41,33,43,32,39,30,35,31,26,32,24,31,31,31,30,42,33,30,27,34,31,33,31,31,35,25,23,37,32,31,33,30,31,34,37,38,32,28,48,38,31,35,23,29,52,30,41,42,42,44,45,42,36,36,43,39
RRV,"(51.525553984274836, -0.13602679573476742)",23,18,20,19,22,19,31,24,20,25,30,22,26,24,27,22,25,22,18,21,19,18,25,12,23,19,18,26,22,18,22,20,23,18,24,21,19,28,16,28,30,31,28,31,22,27,14,24,29,24,28,30,24,27,25,25,26,21,17,21,18,26,28,22,26,30,24,24,23,26,20,20,31,25,29,31,26,29,25,30,29,32,19,22,25,31,22,31,27,20,32,25,28,28,22
RRK,"(52.45157123556422, -1.943017156568475)",26,24,25,23,21,21,31,19,28,25,23,21,32,17,26,24,26,26,19,32,24,22,20,23,11,28,33,29,30,27,29,27,24,32,24,18,29,26,26,22,26,33,33,33,28,31,27,24,35,27,29,44,32,30,21,34,22,31,29,29,37,30,30,26,38,30,34,26,11,30,22,99,75,101,87,108,106,106,92,97,87,86,55,91,83,112,97,101,104,85,84,68,88,84,81
RJE,"(53.00425201343172, -2.2150413221923233)",24,44,28,45,36,35,31,39,31,32,34,33,34,31,37,43,32,37,31,41,54,43,39,49,54,48,52,51,55,56,42,30,45,37,37,37,46,46,49,58,50,48,63,57,47,46,44,56,50,61,50,58,57,55,55,55,48,61,39,61,39,44,54,55,47,64,62,49,41,41,50,46,50,52,40,64,53,61,46,56,39,54,50,59,54,65,47,67,54,69,62,55,54,65,44
RM2,"(53.38962518520386, -2.2930462792780446)",14,13,14,19,13,18,14,19,10,11,12,23,11,14,16,12,17,14,18,19,17,14,20,18,19,14,19,13,16,14,19,14,20,15,10,18,16,15,27,25,25,19,18,10,14,21,16,19,22,20,20,27,24,23,19,13,13,19,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RHM,"(50.93391596347665, -1.4348188990304533)",27,24,29,29,13,21,28,16,23,17,19,22,22,23,22,23,29,24,23,13,25,25,19,26,23,32,38,22,17,33,25,27,18,24,26,18,27,21,22,20,33,21,22,25,26,24,25,23,17,25,24,26,23,17,23,33,23,25,24,26,28,22,14,37,25,27,30,29,25,30,20,28,15,37,29,27,18,16,27,23,25,21,23,33,38,27,28,30,34,22,28,33,40,35,28
