,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162
2013-11-01,24,9,1,14,30,19,8,47,17,6,1,0,16,19,26,18,15,10,18,18,26,6,33,34,0,18,16,26,16,14,33,30,11,13,17,10,40,22,28,27,10,10,12,20,3,11,18,11,7,44,23,10,12,30,21,10,4,11,17,31,14,18,45,21,1,3,11,16,16,11,8,11,27,14,0,28,20,14,12,13,14,17,7,20,25,79,39,0,41,20,26,24,22,9,0,23,1,20,20,9,26,0,0,18,24,23,11,8,30,2,39,23,26,10,34,9,10,11,15,31,21,18,17,15,8,6,15,19,25,13,1,28,7,9,0,0,6,27,21,32,41,19,13,17,32,41,16,9,11,21,8,13,26,4,11,21,10,14,3,37,0,0,0
2013-12-01,32,3,2,16,38,21,17,59,15,9,5,0,27,19,22,22,19,17,17,24,16,6,19,17,2,20,13,30,10,21,37,26,6,8,19,13,34,39,15,16,17,7,11,25,3,16,15,8,11,40,12,8,9,46,29,9,7,11,22,50,14,22,48,29,0,0,10,24,23,12,20,8,29,11,0,25,12,15,14,18,22,9,12,17,30,55,31,1,34,17,25,16,19,10,0,29,0,12,16,25,33,0,0,12,27,15,14,5,26,1,43,18,21,17,34,7,11,12,24,21,16,15,16,8,15,6,17,9,28,12,1,18,19,3,0,0,12,27,19,24,54,17,25,21,21,46,16,19,15,11,8,15,31,10,13,27,14,10,9,38,0,0,0
2014-01-01,24,12,2,15,44,17,10,61,16,16,3,0,19,21,24,18,18,14,23,15,24,5,17,26,0,21,20,30,15,16,36,37,7,10,12,13,39,23,19,23,20,13,11,27,2,20,20,20,8,34,14,10,10,34,23,12,11,12,17,31,12,24,44,19,0,3,21,20,22,19,17,9,29,14,0,21,14,14,11,28,21,19,8,22,24,62,35,0,28,20,17,18,25,3,0,19,0,14,13,19,28,0,0,11,20,22,13,9,28,0,46,21,16,22,19,1,12,16,19,28,18,23,23,14,16,3,19,11,28,11,0,26,20,8,0,2,13,34,18,22,43,14,25,26,32,44,17,11,22,20,21,11,24,13,15,12,12,5,9,40,0,0,0
2014-02-01,24,7,1,15,26,14,10,40,20,9,2,1,27,12,17,19,23,10,24,13,28,10,12,25,1,18,11,30,9,14,46,33,6,6,19,9,35,25,21,13,17,15,10,22,1,6,19,16,5,39,16,7,14,37,32,12,6,6,13,27,4,14,47,11,0,0,15,15,18,18,15,12,30,12,0,18,17,14,6,16,17,18,7,23,22,50,28,0,36,15,23,15,11,11,0,11,3,16,21,20,18,0,0,12,30,15,16,4,22,0,41,19,18,14,24,7,15,11,12,27,27,18,16,9,15,6,33,15,27,16,0,12,12,3,0,1,7,37,25,20,39,20,19,22,23,30,23,19,18,23,14,15,25,11,13,19,9,3,9,33,0,0,0
2014-03-01,26,12,2,13,42,0,18,57,22,16,0,2,24,26,24,19,19,11,16,33,22,6,20,21,2,15,8,23,11,17,41,30,8,0,11,12,44,29,19,21,38,20,11,20,1,18,15,16,6,42,0,7,12,27,36,18,7,19,14,36,8,22,47,19,3,0,11,20,22,17,17,0,31,15,0,21,26,18,7,10,0,19,8,28,29,68,31,0,34,20,23,23,28,13,0,14,1,17,18,37,29,0,0,6,19,25,16,6,20,0,41,24,11,15,26,5,9,18,15,28,16,17,15,9,15,3,24,10,34,13,1,12,28,12,0,3,7,28,12,23,49,18,26,19,22,36,20,17,16,20,24,15,24,17,0,30,14,5,9,41,30,0,0
2014-04-01,26,8,1,13,33,0,11,39,15,11,3,1,19,18,24,19,20,17,23,23,26,5,12,19,1,20,19,20,12,16,37,26,5,0,11,12,41,26,16,19,44,16,11,18,2,13,21,21,8,38,0,7,11,22,24,11,10,13,18,33,10,20,43,33,1,1,16,36,16,18,18,0,39,14,0,23,20,21,15,17,0,15,12,22,35,70,30,0,39,21,29,21,24,11,0,18,1,15,21,45,31,0,1,7,31,18,12,13,22,3,49,29,31,23,34,6,17,14,19,22,21,16,23,11,16,4,21,4,33,9,2,16,16,5,0,1,10,24,23,11,54,19,23,12,24,42,20,12,16,14,13,16,23,10,0,24,8,9,7,49,32,0,0
2014-05-01,29,5,3,26,29,0,15,56,15,9,2,2,29,19,19,14,19,11,24,22,21,6,17,30,1,25,22,28,19,19,41,32,8,0,33,12,37,27,13,26,40,10,16,27,2,24,20,16,7,41,0,9,10,31,28,11,8,13,23,27,12,22,63,20,2,5,17,25,29,20,11,0,29,9,0,21,16,21,14,18,0,10,10,25,47,58,23,1,44,20,27,19,22,13,0,16,0,19,21,39,18,0,0,12,31,19,26,3,31,1,53,14,23,20,43,10,9,18,17,21,21,10,25,8,21,3,22,10,34,15,1,11,20,8,0,2,14,35,19,28,48,14,32,21,24,39,15,12,14,19,20,20,28,9,0,28,7,18,8,40,37,0,0
2014-06-01,33,12,0,15,54,0,13,40,16,11,5,1,21,21,26,26,21,16,19,23,24,10,17,25,2,13,16,29,12,14,44,29,9,0,22,12,40,37,23,34,33,14,16,28,2,24,17,20,11,55,0,4,10,20,27,17,8,18,21,25,14,22,47,23,0,2,24,29,23,17,15,0,35,13,0,15,24,19,14,12,0,15,17,21,34,59,47,0,32,20,21,12,42,16,0,20,2,18,17,39,29,0,0,11,17,24,7,7,28,1,45,22,28,12,20,7,6,9,16,15,24,18,23,9,17,4,19,13,39,8,0,25,13,4,0,0,8,36,18,33,52,19,38,18,19,51,18,14,10,18,15,18,22,13,0,24,16,11,5,32,25,0,0
2014-07-01,37,9,2,16,41,0,20,65,18,12,0,1,28,24,18,29,17,15,21,31,26,8,24,18,1,20,15,28,16,24,45,34,9,0,20,5,44,20,23,14,35,15,13,25,1,16,19,17,17,50,0,14,6,36,23,17,10,12,15,36,13,29,50,22,2,1,19,22,30,13,13,0,28,19,0,16,20,14,9,15,0,11,10,19,40,78,47,0,28,20,35,22,36,12,0,29,4,20,18,35,26,0,1,10,19,24,14,9,28,5,73,30,29,16,36,11,15,17,20,29,32,19,18,13,25,7,15,11,45,15,1,20,35,1,0,0,14,33,26,29,51,13,22,27,31,45,24,14,20,23,10,17,23,11,0,26,17,15,7,33,33,0,0
2014-08-01,27,6,6,20,45,0,15,61,21,16,2,2,13,16,25,27,21,11,12,19,21,9,21,27,0,13,15,27,14,14,31,28,8,0,20,18,31,25,28,12,52,12,7,31,3,21,19,19,5,48,0,8,12,36,46,13,8,15,20,25,13,24,42,30,1,1,26,25,24,19,27,0,37,21,0,29,16,19,13,11,0,29,9,33,33,84,41,2,40,12,25,22,35,13,0,20,2,16,22,51,27,0,0,9,18,22,16,14,33,3,50,27,25,20,32,9,19,19,17,26,26,23,17,15,12,3,24,15,30,20,0,16,31,4,0,1,14,41,22,30,55,16,17,16,34,66,21,19,18,30,12,13,38,11,0,23,17,11,6,49,38,0,0
