,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162
2018-02-01,22,10,3,15,44,0,17,45,21,17,1,0,18,22,26,18,15,15,22,19,0,23,19,26,1,24,16,12,19,18,28,30,10,0,32,11,34,23,17,28,34,14,13,18,1,16,25,15,14,50,0,0,7,36,23,8,13,19,32,33,10,23,53,32,0,0,14,22,23,12,22,0,23,12,0,26,22,15,15,28,0,17,9,25,33,43,36,0,36,27,25,11,38,14,0,27,0,20,10,38,23,0,1,10,22,28,21,10,19,2,53,20,27,14,38,5,13,22,14,32,20,14,21,12,17,4,23,16,26,12,0,14,29,8,0,3,9,30,20,22,50,0,20,15,35,34,22,18,14,30,0,11,29,5,17,16,6,7,13,36,49,40,0
2018-03-01,25,20,1,13,42,0,14,68,22,18,2,0,17,20,34,30,20,0,25,28,0,31,21,23,1,48,13,35,15,25,55,22,7,0,17,8,51,38,29,20,54,19,12,18,3,14,15,18,12,0,0,0,8,26,20,0,8,12,24,39,12,23,52,33,0,1,22,34,21,21,9,0,37,13,0,28,25,16,23,23,0,17,7,21,36,55,38,0,33,29,30,18,34,9,0,21,1,23,23,47,28,0,0,14,22,21,13,9,17,0,49,30,25,29,46,13,13,20,25,33,12,20,26,15,25,5,27,17,48,13,0,10,24,6,0,0,8,31,20,99,46,0,28,21,30,42,30,14,15,27,0,10,33,8,18,22,5,11,13,39,50,35,0
2018-04-01,26,24,2,14,29,0,18,47,22,12,4,0,24,28,20,26,23,0,27,25,0,34,19,31,1,43,13,33,18,20,46,27,8,0,20,9,41,35,26,21,49,23,11,17,2,8,23,20,13,0,0,0,13,35,22,0,5,17,25,56,12,26,47,31,0,1,20,23,24,17,18,0,32,26,0,28,29,21,14,24,0,21,11,31,37,45,45,1,29,24,32,32,32,17,0,27,1,29,22,41,29,0,0,8,36,40,12,4,29,0,55,18,20,15,47,16,14,24,16,31,16,15,33,20,26,5,28,22,39,12,1,21,13,3,0,2,9,34,31,75,50,0,15,21,33,52,16,10,17,22,0,15,32,11,20,28,13,8,13,49,54,38,0
2018-05-01,30,12,2,17,50,0,9,62,22,10,3,0,25,17,24,19,21,0,25,33,0,26,28,25,0,41,19,38,16,17,42,26,15,0,10,7,52,37,35,32,61,26,14,15,2,18,28,23,15,0,0,0,11,34,35,0,8,17,15,46,13,28,70,43,0,3,21,30,27,10,23,0,46,15,0,23,24,18,20,30,0,23,16,24,37,56,49,0,44,34,46,24,35,10,0,28,3,34,27,43,30,0,2,16,34,27,19,4,24,1,63,28,21,27,42,17,12,24,18,22,27,16,35,16,21,11,31,24,43,18,1,22,22,7,0,1,8,37,25,101,52,0,37,28,24,62,13,16,20,26,0,21,34,13,22,33,18,11,16,46,45,48,0
2018-06-01,35,14,1,26,40,0,22,62,22,11,2,0,27,31,22,19,25,0,23,35,0,31,15,24,1,53,15,36,20,22,47,35,20,0,21,6,40,36,28,23,59,24,12,24,2,22,27,26,13,0,0,0,7,39,27,0,12,19,15,45,18,31,49,42,0,1,25,27,40,9,21,0,38,32,0,37,29,26,21,31,0,23,10,30,36,59,37,1,43,34,40,21,38,11,0,31,6,29,25,29,30,0,1,14,34,39,17,7,15,1,60,36,27,26,51,13,20,25,14,22,19,12,27,13,32,13,25,21,42,23,0,14,24,8,0,0,17,38,29,87,40,0,29,24,30,46,17,15,17,33,0,16,30,9,19,29,13,8,12,43,47,61,0
2018-07-01,35,10,1,18,50,0,23,56,33,17,2,0,19,23,31,28,23,0,32,31,0,34,28,24,0,47,21,29,13,25,51,39,16,0,22,13,54,35,33,33,47,23,14,23,0,14,16,26,10,0,0,0,18,52,35,0,19,21,25,45,10,33,58,30,1,1,19,37,25,14,21,0,35,20,0,40,25,23,26,35,0,26,19,31,35,76,35,0,43,27,32,22,29,10,0,37,1,41,32,43,26,0,0,18,37,27,26,8,16,0,55,39,37,25,49,14,29,27,16,32,26,23,18,19,26,7,28,17,41,26,1,21,31,4,0,0,6,32,31,108,64,0,27,22,32,41,32,24,22,33,0,14,27,10,23,31,19,9,15,51,39,54,0
2018-08-01,27,17,1,22,37,0,15,62,29,22,2,0,31,34,30,22,17,0,34,43,0,33,31,33,1,47,25,33,18,21,57,27,11,0,32,11,47,36,32,24,72,25,24,28,2,20,30,34,15,0,0,0,16,40,31,0,13,22,22,49,13,30,74,38,2,1,23,38,23,19,20,0,36,22,0,28,34,29,26,28,0,22,14,32,37,58,56,1,58,37,39,23,46,18,0,26,1,30,24,46,28,0,1,14,27,31,27,4,17,3,74,29,31,24,44,12,7,17,28,36,16,17,40,16,25,5,30,13,40,18,0,13,33,11,0,0,14,28,26,106,53,0,18,31,36,37,25,18,21,34,0,16,29,10,21,36,18,16,19,49,59,60,0
2018-09-01,33,11,2,22,32,0,16,59,26,20,3,0,28,29,30,23,14,0,27,31,0,35,28,22,2,40,15,38,15,17,81,31,8,0,33,12,52,37,38,24,55,29,14,32,2,29,25,18,11,0,0,0,9,41,40,0,15,17,23,39,14,33,55,29,2,1,16,32,24,15,20,0,45,19,0,37,23,28,21,35,0,21,15,24,38,49,37,2,52,25,34,20,34,8,1,38,1,33,32,47,35,0,0,14,33,24,18,7,20,1,52,20,29,18,47,13,16,20,16,35,12,10,25,18,21,6,25,22,34,25,1,28,41,5,0,1,10,48,29,106,61,0,16,35,29,54,34,21,19,24,0,14,30,16,22,42,12,9,16,54,46,62,0
2018-10-01,30,18,2,17,37,0,21,53,19,6,3,0,21,22,22,41,24,0,37,42,0,40,25,31,5,53,17,32,27,18,71,41,17,0,20,10,55,38,30,24,76,20,11,25,2,18,36,22,9,0,0,0,10,33,29,0,14,20,24,42,20,27,65,40,1,1,19,32,23,19,24,0,36,21,0,25,22,26,22,34,0,19,17,23,42,54,39,0,42,38,36,15,32,12,0,25,3,32,30,39,26,0,0,19,33,39,26,14,21,1,58,21,48,21,46,11,24,21,21,31,25,22,36,19,24,7,23,18,39,31,0,14,26,3,0,1,14,38,25,92,46,0,27,28,29,41,17,9,20,25,0,16,33,11,29,25,11,14,19,46,51,38,0
2018-11-01,25,13,2,14,48,0,16,62,16,11,3,0,28,15,25,20,21,0,15,43,0,38,20,29,3,31,17,27,18,25,57,23,14,0,23,8,53,35,33,24,64,21,11,17,3,17,29,22,7,0,0,0,15,37,29,0,11,24,15,39,8,24,64,30,1,1,17,33,20,17,6,0,40,16,0,32,29,19,21,22,0,21,7,19,40,66,42,3,49,22,39,21,26,15,0,26,1,30,22,36,18,0,0,11,31,23,14,13,19,1,63,26,31,25,43,6,15,26,8,34,21,20,37,21,17,9,31,21,31,22,1,16,27,13,0,1,10,31,30,97,56,0,23,19,24,39,24,15,14,26,0,13,24,13,22,32,9,6,15,39,44,49,0
2018-12-01,28,11,5,29,31,0,6,49,27,11,3,0,22,25,21,22,21,0,27,31,0,27,19,23,0,41,15,38,22,10,64,26,11,0,20,19,40,40,28,32,56,16,12,20,1,18,19,23,7,0,0,0,14,38,26,0,12,14,15,35,14,25,65,29,0,1,12,28,19,19,20,0,52,13,0,26,21,18,20,28,0,19,9,27,31,65,37,1,37,21,37,13,24,10,0,32,3,24,31,51,34,0,0,19,24,24,20,9,21,0,46,23,34,15,58,11,21,23,22,31,14,21,31,9,23,9,25,16,38,11,0,25,34,11,0,3,13,35,29,87,39,0,25,24,28,32,28,7,14,36,0,14,28,12,20,34,9,7,11,33,35,48,0
2019-01-01,30,11,0,20,37,0,16,51,13,6,2,0,21,28,21,17,21,0,21,42,0,34,22,32,0,49,16,35,15,24,63,32,7,0,26,11,45,33,29,16,55,26,13,34,0,19,12,24,15,0,0,0,10,35,21,0,14,15,22,36,10,30,59,31,0,0,11,24,21,12,29,0,32,28,0,18,32,28,21,25,0,19,12,31,38,67,38,0,40,36,30,23,28,18,0,22,2,33,32,42,20,0,0,14,38,27,23,9,18,3,47,30,22,23,41,14,16,23,28,17,19,23,33,18,22,5,26,8,42,15,0,12,32,5,0,0,14,23,32,86,54,0,21,31,24,41,13,11,17,32,0,10,25,8,25,25,15,10,15,42,57,48,0
2019-02-01,34,16,0,28,26,0,17,51,26,14,4,0,25,12,18,18,16,0,25,35,0,25,25,22,0,41,22,24,15,21,70,32,7,0,20,11,48,30,21,15,56,18,15,17,3,14,28,25,11,0,0,0,6,42,20,0,5,15,13,35,10,22,60,28,0,1,12,19,20,15,16,0,27,17,0,28,21,28,19,32,0,14,11,19,29,54,40,0,37,27,22,14,24,9,0,25,2,39,25,38,26,0,0,13,33,26,15,4,17,2,42,26,36,14,41,9,10,28,24,26,18,17,20,16,21,7,32,18,38,17,0,15,27,1,0,1,9,29,19,55,50,0,23,30,24,31,18,17,13,18,0,9,22,8,24,31,14,9,19,46,39,32,0
2019-03-01,25,13,2,21,29,0,13,52,27,10,5,0,11,25,27,16,31,0,29,31,0,25,40,0,1,39,23,34,18,19,60,21,14,0,25,13,42,39,34,26,75,23,6,18,2,18,22,27,15,0,0,0,5,55,21,0,16,16,19,34,20,25,64,38,2,3,18,27,17,10,13,0,42,18,0,29,28,20,18,32,0,8,16,24,43,63,40,0,38,34,26,16,28,9,0,30,1,34,25,35,33,0,1,14,36,26,25,12,20,1,45,26,42,22,41,0,19,30,17,26,19,16,36,17,18,12,21,21,38,21,0,14,21,2,0,2,11,52,22,91,59,0,33,31,29,43,27,16,17,27,0,17,29,7,20,37,18,12,13,49,49,57,36
2019-04-01,32,14,2,18,31,0,12,70,24,17,2,0,23,27,15,23,26,0,21,29,0,25,28,0,2,37,18,38,13,28,55,29,10,0,30,14,41,43,24,31,63,17,13,15,2,21,20,20,11,0,0,0,11,37,32,0,16,17,10,34,7,27,34,28,0,3,14,28,28,13,26,0,42,14,0,30,18,24,15,31,0,20,14,29,37,62,50,3,37,26,33,23,32,16,0,30,2,34,33,40,24,0,0,18,31,23,18,12,26,1,68,22,26,23,46,0,11,28,22,32,24,16,25,11,19,10,37,13,33,14,0,26,34,4,0,0,9,30,25,83,54,0,38,30,21,45,30,9,19,22,0,13,38,19,26,37,9,17,16,50,37,38,50
2019-05-01,31,12,2,24,36,0,18,58,24,12,2,0,31,17,29,33,29,0,22,32,0,30,28,0,0,47,21,33,13,25,62,34,15,0,37,10,56,39,38,30,67,15,10,25,0,19,33,20,8,0,0,0,11,43,37,0,14,17,21,36,16,23,46,35,0,1,22,30,22,19,18,0,49,18,0,22,20,26,33,35,0,23,18,22,39,67,52,0,36,27,46,19,24,17,0,35,0,27,30,32,31,0,1,21,25,32,21,8,18,3,50,31,39,25,45,0,13,19,18,30,24,18,34,17,26,7,27,24,30,19,2,23,23,2,0,2,16,41,31,112,65,0,27,28,26,52,19,11,25,17,0,21,38,6,24,45,13,8,17,45,39,54,36
2019-06-01,30,23,3,18,46,0,19,65,25,12,2,0,21,25,21,26,23,0,26,37,0,20,17,0,1,52,18,42,19,18,51,29,14,0,24,14,43,33,29,13,45,18,16,28,1,18,23,17,6,0,0,0,9,51,24,0,16,18,22,34,17,29,51,23,0,2,15,38,37,20,21,0,36,15,0,39,20,29,19,25,0,25,15,22,40,71,45,1,46,23,32,21,41,22,1,39,1,26,22,44,28,0,0,12,28,23,18,8,19,0,62,25,27,24,41,0,12,28,26,28,14,13,30,12,20,7,43,21,35,14,0,24,21,5,0,0,13,42,22,97,47,0,28,24,28,37,21,15,22,29,0,19,39,8,26,36,14,14,15,49,42,51,42
2019-07-01,35,19,1,30,49,0,11,60,33,14,2,0,27,16,30,23,16,0,37,37,0,34,24,0,4,65,24,36,20,35,46,35,20,0,31,17,51,39,38,29,68,28,19,14,1,15,23,26,7,0,0,0,15,43,35,0,15,13,21,42,19,28,56,41,3,1,18,29,26,20,16,0,42,20,0,38,26,30,17,38,0,21,11,32,46,54,51,0,48,34,51,22,31,15,0,28,1,43,26,50,19,0,2,21,34,23,20,11,15,1,46,28,31,20,37,0,14,21,21,40,21,17,35,11,44,5,28,17,31,23,1,19,33,7,0,2,9,42,31,101,67,0,30,32,28,55,27,8,21,34,0,28,28,15,28,25,7,24,19,47,53,46,40
2019-08-01,32,17,2,18,35,0,17,85,24,17,4,0,37,24,19,25,22,0,34,34,0,26,26,0,2,57,20,32,18,28,50,39,20,0,34,9,66,30,32,24,72,20,18,25,0,26,24,35,20,0,0,0,13,50,38,0,13,15,14,34,13,21,78,37,0,1,15,49,34,19,20,0,38,26,0,32,33,26,20,32,0,20,16,42,55,71,42,0,49,28,47,23,46,16,0,36,1,35,31,56,29,0,0,23,43,28,20,11,22,0,72,28,34,29,35,0,23,31,24,37,24,23,39,26,27,5,28,21,50,16,0,17,29,7,0,1,15,44,27,104,54,0,34,31,34,53,35,8,19,29,0,27,47,14,16,42,9,11,16,66,51,49,44
2019-09-01,30,16,0,20,37,0,9,59,27,7,1,0,28,22,31,14,21,0,32,37,0,32,29,0,0,53,21,32,11,21,51,32,19,0,36,14,68,30,22,27,67,16,23,12,1,27,20,31,18,0,0,0,11,44,31,0,16,13,20,41,15,24,72,38,1,1,16,32,16,12,15,0,27,21,0,30,27,21,21,28,0,26,11,32,38,63,46,1,40,36,49,20,40,12,0,30,0,35,24,31,24,0,0,19,29,20,22,9,18,1,64,35,28,18,42,0,12,28,18,30,21,19,31,14,27,5,36,23,33,10,1,25,30,8,0,1,11,45,20,85,69,0,22,21,28,47,27,19,22,23,0,16,26,21,13,34,8,8,11,41,41,68,49
2019-10-01,32,16,1,15,46,0,13,62,26,9,2,0,31,20,24,29,18,0,30,45,0,29,18,0,0,64,18,26,24,31,40,30,9,0,22,16,46,25,33,20,59,20,13,20,0,16,28,24,9,0,0,0,9,37,29,0,11,26,15,41,14,26,59,44,0,0,26,39,18,23,31,0,40,22,0,29,37,25,19,31,0,17,13,35,42,79,61,1,41,29,43,35,30,11,1,33,1,31,32,40,31,0,0,15,25,23,18,11,17,0,65,29,39,15,43,0,10,31,27,38,24,20,38,13,21,11,27,19,38,23,1,15,31,6,0,0,26,42,32,84,62,0,28,20,29,43,20,15,19,29,0,13,45,5,25,27,11,12,20,47,41,59,41
2019-11-01,27,16,2,21,32,0,20,77,26,17,1,0,20,21,24,20,20,0,16,28,0,29,17,0,0,57,15,30,13,30,52,32,8,0,32,15,39,35,34,21,53,16,15,18,1,22,24,28,16,0,0,0,11,47,37,0,12,16,14,36,12,18,54,34,0,0,20,20,20,18,22,0,21,18,0,27,25,26,26,22,0,21,15,31,32,56,48,2,28,30,29,19,27,9,0,38,0,38,23,38,25,0,0,16,25,23,16,12,16,0,60,26,37,25,35,0,19,31,13,24,20,17,29,11,22,6,26,15,34,22,1,12,24,10,0,1,10,36,25,68,55,0,33,23,24,48,29,10,14,28,0,19,37,7,23,30,7,9,14,47,46,48,34
2019-12-01,34,9,1,18,37,0,15,55,28,14,5,0,26,25,26,28,13,0,25,33,0,23,16,0,0,52,16,22,23,25,59,37,9,0,24,8,48,23,26,34,62,19,7,29,1,14,28,30,12,0,0,0,9,33,45,0,12,15,17,29,10,24,60,33,0,1,13,23,22,17,24,0,31,10,0,19,25,25,27,17,0,14,7,26,36,53,50,1,34,23,36,23,25,10,0,30,1,31,28,39,16,0,1,20,30,29,11,7,15,1,36,35,23,22,41,0,14,21,20,37,19,16,33,9,31,6,24,18,33,13,1,15,23,7,2,1,10,36,28,88,54,0,40,25,26,34,25,16,16,29,0,21,34,10,22,25,3,9,12,46,54,44,40
2020-01-01,37,9,1,21,46,0,11,58,20,14,2,0,30,22,24,24,25,0,28,35,0,36,20,0,3,35,17,34,14,34,69,25,15,0,22,14,45,38,34,25,68,27,19,10,1,24,18,31,7,0,0,0,14,45,36,0,12,17,17,43,11,30,67,34,0,0,20,21,22,16,24,0,30,13,0,21,23,34,24,27,0,25,16,35,37,57,43,0,29,27,39,18,28,14,0,41,1,39,20,34,33,0,0,15,28,18,13,7,23,2,42,19,33,20,45,0,14,18,24,20,15,11,34,14,18,6,35,23,39,21,1,15,31,7,0,2,11,43,28,84,65,0,35,24,32,44,23,24,14,25,0,13,33,7,22,30,8,13,15,41,59,44,37
2020-02-01,25,12,3,21,37,0,7,57,18,12,1,0,24,20,24,19,21,0,18,25,0,23,22,0,1,43,19,33,19,26,62,34,13,0,20,4,47,39,27,22,54,20,13,18,4,12,34,13,7,0,0,0,12,41,18,0,10,14,16,39,13,26,71,29,0,1,13,28,21,12,20,0,32,20,0,33,23,33,22,24,0,17,15,27,30,51,33,0,43,23,28,10,24,13,0,24,0,25,22,0,24,0,1,24,18,20,22,10,17,0,45,30,30,19,27,0,9,26,13,21,19,20,51,18,22,6,16,15,29,13,0,16,29,4,0,0,8,39,22,81,44,0,28,19,28,45,26,15,14,21,0,16,29,5,33,22,9,12,9,42,39,42,39
